sample_idx,cycle_idx,pose_idx,pose_name,j1,j2,j3,j4,gripper,robot_u,robot_v,robot_d,robot_conf,robot_bbox,image_path
79,1,13,calib_13_right_high,-0.4049709141254425,-0.6519418358802795,0.8513593077659607,-0.35588353872299194,-1.7626196495257318e-05,285,155,0.9200000643730164,0.9174150228500366,"[234.7206573486328, 119.83695983886719, 337.15570068359375, 190.3421173095703]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0079_cycle_01_pose_13_calib_13_right_high.jpg
80,1,13,calib_13_right_high,-0.1672039031982422,-0.6519418358802795,0.8513593077659607,-0.35588353872299194,-1.7626196495257318e-05,316,156,0.900000023841858,0.9288805723190308,"[260.7210998535156, 120.00666046142578, 371.5238342285156, 192.13653564453125]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0080_cycle_01_pose_13_calib_13_right_high.jpg
81,1,13,calib_13_right_high,0.07056311517953873,-0.6519418358802795,0.8513593077659607,-0.35588353872299194,-1.7626196495257318e-05,340,155,0.8880000591278077,0.9516277313232422,"[292.52740478515625, 120.79150390625, 388.24737548828125, 190.54330444335938]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0081_cycle_01_pose_13_calib_13_right_high.jpg
82,1,13,calib_13_right_high,0.30526217818260193,-0.6519418358802795,0.8513593077659607,-0.35281556844711304,-1.7626196495257318e-05,363,155,0.8890000462532044,0.9546890258789062,"[314.99725341796875, 120.621337890625, 412.0150146484375, 190.37411499023438]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0082_cycle_01_pose_13_calib_13_right_high.jpg
83,1,13,calib_13_right_high,0.5445631742477417,-0.6519418358802795,0.8513593077659607,-0.35128161311149597,-1.7626196495257318e-05,391,156,0.8940000414848328,0.8847296833992004,"[335.7562255859375, 120.64047241210938, 447.069091796875, 191.46072387695312]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0083_cycle_01_pose_13_calib_13_right_high.jpg
84,1,13,calib_13_right_high,0.6519418358802795,-0.6519418358802795,0.849825382232666,-0.35128161311149597,-1.7626196495257318e-05,426,155,0.9140000224113465,0.7719953060150146,"[380.483642578125, 120.46861267089844, 472.07684326171875, 191.19703674316406]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0084_cycle_01_pose_13_calib_13_right_high.jpg
85,1,14,calib_14_left_center,0.6366020441055298,-0.6550098061561584,0.849825382232666,-0.35128161311149597,-3.5252818634035066e-05,436,155,0.9160000562667847,0.8225694894790649,"[393.11236572265625, 120.74185180664062, 480.44268798828125, 190.00921630859375]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0085_cycle_01_pose_14_calib_14_left_center.jpg
86,1,14,calib_14_left_center,0.4463884234428406,-0.685689389705658,0.8743690252304077,-0.35128161311149597,-1.7626196495257318e-05,436,155,0.9200000643730164,0.8207778930664062,"[392.1678161621094, 120.81904602050781, 480.1734313964844, 189.8819122314453]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0086_cycle_01_pose_14_calib_14_left_center.jpg
87,1,14,calib_14_left_center,0.22396118938922882,-0.7240389585494995,0.9142525792121887,-0.35128161311149597,-1.7626196495257318e-05,411,155,0.9020000576972962,0.8817654848098755,"[359.7286376953125, 120.13404846191406, 462.76287841796875, 190.1139678955078]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0087_cycle_01_pose_14_calib_14_left_center.jpg
88,1,14,calib_14_left_center,0.0015339808305725455,-0.7593204975128174,0.9556700587272644,-0.35128161311149597,-1.7626196495257318e-05,383,157,0.8980000495910645,0.8892795443534851,"[330.0542907714844, 122.4825439453125, 437.5763854980469, 191.866455078125]",src/CALIBRATION/robot_camera_calibration_samples/2026-06-15_04-36-11/sample_0088_cycle_01_pose_14_calib_14_left_center.jpg
